from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
150,70082,1,,,,,,52928247-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928247-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928248-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928248-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928249-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928249-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928250-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928250-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928256-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928256-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928257-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928257-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928258-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928258-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928259-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928259-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928265-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928265-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928266-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928266-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928267-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928267-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928268-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928268-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928274-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928274-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928275-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928275-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928276-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928276-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928277-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928277-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928283-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928283-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928284-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928284-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928285-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928285-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928286-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928286-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928292-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928292-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928293-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928293-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928294-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928294-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928295-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928295-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928301-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928301-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928302-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928302-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928303-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928303-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928304-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928304-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928310-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928310-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928311-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928311-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928312-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928312-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928313-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928313-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928314-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928314-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928315-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928315-AshmontBwayAshBranchAshmontBwayBtreeBranch2
